date,user_id,product,quantity,price
2024-07-23T00:00:00.000Z,wqHNja,Продукт: mOZGhk,5,3013
2024-05-27T00:00:00.000Z,wwUGtX,Продукт: DiZIfz,51,8785
2024-04-18T00:00:00.000Z,gXJJLP,Продукт: mOZGhk,60,305
2024-03-30T00:00:00.000Z,QyWmtu,Продукт: eKZRPj,58,4408
2024-03-04T00:00:00.000Z,AGEYMJ,Продукт: kyJZon,51,5307
2024-12-02T00:00:00.000Z,lXBxKj,Продукт: ksGRAB,94,2873
2024-03-04T00:00:00.000Z,EZmtBI,Продукт: eKZRPj,97,4063
2024-05-28T00:00:00.000Z,IORUyu,Продукт: qYTwMH,51,7938
2024-05-27T00:00:00.000Z,vwuEqz,Продукт: ksGRAB,60,358
2024-09-18T00:00:00.000Z,JXxgJf,Продукт: cXHbJD,35,7821
2024-06-29T00:00:00.000Z,kbcnti,Продукт: ysAwtk,52,7143
2024-07-19T00:00:00.000Z,bqdvZo,Продукт: ksGRAB,33,5750
2024-03-16T00:00:00.000Z,DOIWFN,Продукт: kyJZon,70,1695
2024-11-19T00:00:00.000Z,PpANRX,Продукт: ysAwtk,76,9806
2024-05-10T00:00:00.000Z,svSCLA,Продукт: kyJZon,49,7808
2024-06-05T00:00:00.000Z,SnxTAE,Продукт: Kuhbyg,5,2945
2024-12-10T00:00:00.000Z,QeFhhk,Продукт: pGzvBW,2,3270
2024-09-29T00:00:00.000Z,sgOjHF,Продукт: Kuhbyg,63,5486
2024-04-12T00:00:00.000Z,InNfxf,Продукт: wgQTYu,88,7824
2024-01-24T00:00:00.000Z,OWFJhH,Продукт: vIMOcr,14,7176
2024-09-01T00:00:00.000Z,gEuhxa,Продукт: pGzvBW,27,730
2024-08-24T00:00:00.000Z,LhAxRa,Продукт: vIMOcr,43,4364
2024-06-15T00:00:00.000Z,zLoaBc,Продукт: ZKGFid,76,8043
2024-09-27T00:00:00.000Z,wwpDCR,Продукт: Kuhbyg,52,6954
2024-04-02T00:00:00.000Z,CVenky,Продукт: eKZRPj,63,3549
2024-06-01T00:00:00.000Z,uJvxkc,Продукт: ksGRAB,88,2738
2024-08-27T00:00:00.000Z,vOtKDn,Продукт: DiZIfz,32,4237
2024-03-25T00:00:00.000Z,nLOfoh,Продукт: RujVFA,88,808
2024-09-10T00:00:00.000Z,CoTdkw,Продукт: ZKGFid,83,2608
2024-09-13T00:00:00.000Z,FSUsFY,Продукт: ZKGFid,30,2051
2024-03-05T00:00:00.000Z,oxSMiU,Продукт: eKZRPj,20,5447
2024-03-17T00:00:00.000Z,xtgQZU,Продукт: wgQTYu,55,641
2024-09-02T00:00:00.000Z,qolBTy,Продукт: Kuhbyg,9,7646
2024-07-19T00:00:00.000Z,oxRcDQ,Продукт: pGzvBW,71,4712
2024-10-16T00:00:00.000Z,qdlrag,Продукт: RujVFA,61,4029
2024-02-12T00:00:00.000Z,Eihaok,Продукт: kripcr,5,4195
2024-06-24T00:00:00.000Z,Zihebq,Продукт: qYTwMH,28,5134
2024-11-15T00:00:00.000Z,OpGRhK,Продукт: RujVFA,57,1059
2024-05-31T00:00:00.000Z,IvywyJ,Продукт: mOZGhk,85,6107
2024-05-13T00:00:00.000Z,BwyCmB,Продукт: qYTwMH,31,7025
2024-12-01T00:00:00.000Z,EZwyxb,Продукт: Kuhbyg,13,7502
2024-05-30T00:00:00.000Z,KxizKo,Продукт: ZKGFid,49,2877
2024-10-18T00:00:00.000Z,ougPDJ,Продукт: ysAwtk,62,9916
2024-05-29T00:00:00.000Z,umyUiJ,Продукт: mOZGhk,11,175
2024-07-11T00:00:00.000Z,QNvlUx,Продукт: ysAwtk,78,4465
2024-05-22T00:00:00.000Z,JxfBKl,Продукт: mOZGhk,84,7905
2024-07-05T00:00:00.000Z,ZxsgCF,Продукт: mOZGhk,81,1137
2024-07-13T00:00:00.000Z,acQskq,Продукт: ksGRAB,36,3542
2024-09-07T00:00:00.000Z,oYYTTL,Продукт: RujVFA,82,2141
2024-09-28T00:00:00.000Z,NthvOZ,Продукт: ZKGFid,37,945
2024-10-10T00:00:00.000Z,Gpoxaj,Продукт: qYTwMH,75,5879
2024-02-14T00:00:00.000Z,gIbFZX,Продукт: DiZIfz,46,9150
2024-12-29T00:00:00.000Z,LqctfY,Продукт: cXHbJD,29,1122
2024-07-13T00:00:00.000Z,nGLsMb,Продукт: wgQTYu,7,1829
2024-09-27T00:00:00.000Z,NiIOkt,Продукт: ZKGFid,83,6909
2024-05-27T00:00:00.000Z,iefdBh,Продукт: ksGRAB,29,2245
2024-11-17T00:00:00.000Z,BEibQt,Продукт: kripcr,12,1461
2024-06-23T00:00:00.000Z,ObQuZr,Продукт: kripcr,49,1963
2024-01-09T00:00:00.000Z,yJhCvK,Продукт: ksGRAB,65,1570
2024-05-01T00:00:00.000Z,vDQwyI,Продукт: ksGRAB,98,7061
2024-01-29T00:00:00.000Z,dTDZbC,Продукт: qYTwMH,90,4321
2024-01-29T00:00:00.000Z,tNURPW,Продукт: DiZIfz,80,8665
2024-05-14T00:00:00.000Z,avBJZl,Продукт: cXHbJD,66,4035
2024-06-05T00:00:00.000Z,qFDZmd,Продукт: DiZIfz,74,9577
2024-01-22T00:00:00.000Z,ndJrox,Продукт: cXHbJD,23,9418
2024-09-27T00:00:00.000Z,RSTtOY,Продукт: ysAwtk,64,6098
2024-11-10T00:00:00.000Z,hQsUbE,Продукт: wgQTYu,94,3751
2024-11-13T00:00:00.000Z,YFbThR,Продукт: kripcr,78,6826
2024-05-18T00:00:00.000Z,DDinTM,Продукт: vIMOcr,71,4559
2024-01-11T00:00:00.000Z,fJnESK,Продукт: Kuhbyg,79,8687
2024-06-11T00:00:00.000Z,SFzEVS,Продукт: ZKGFid,81,7757
2024-04-27T00:00:00.000Z,zmWBXE,Продукт: ysAwtk,55,7161
2024-01-01T00:00:00.000Z,EeDcNx,Продукт: Kuhbyg,89,7364
2024-09-12T00:00:00.000Z,SHseHY,Продукт: mOZGhk,61,7147
2024-08-22T00:00:00.000Z,GWVnBD,Продукт: eKZRPj,77,1377
2024-12-16T00:00:00.000Z,NjWRuH,Продукт: eKZRPj,43,9289
2024-11-12T00:00:00.000Z,zwLuWD,Продукт: eKZRPj,17,4984
2024-10-01T00:00:00.000Z,DrqcrR,Продукт: qYTwMH,12,8489
2024-09-30T00:00:00.000Z,evUozr,Продукт: kripcr,14,6730
2024-08-19T00:00:00.000Z,kWUUCd,Продукт: DiZIfz,47,6374
2024-09-22T00:00:00.000Z,Ltkzwd,Продукт: Kuhbyg,48,6410
2024-10-20T00:00:00.000Z,fKvNNN,Продукт: ysAwtk,78,4248
2024-04-11T00:00:00.000Z,weOHXx,Продукт: DiZIfz,7,6932
2024-01-26T00:00:00.000Z,ckewar,Продукт: DiZIfz,62,4228
2024-03-04T00:00:00.000Z,cmAtTs,Продукт: eKZRPj,48,2346
2024-06-13T00:00:00.000Z,SDfUTz,Продукт: kyJZon,17,333
2024-10-26T00:00:00.000Z,CBnGKL,Продукт: pGzvBW,3,5732
2024-01-10T00:00:00.000Z,WKFTzy,Продукт: ksGRAB,53,8645
2024-12-25T00:00:00.000Z,wYdJLV,Продукт: DiZIfz,39,1617
2024-07-06T00:00:00.000Z,HhsaNz,Продукт: kyJZon,10,4853
2024-06-30T00:00:00.000Z,NfpXjv,Продукт: Kuhbyg,18,5083
2024-11-15T00:00:00.000Z,FLdPfe,Продукт: wgQTYu,89,780
2024-06-19T00:00:00.000Z,RmyPFL,Продукт: kripcr,1,8572
2024-07-31T00:00:00.000Z,PgRWFq,Продукт: pGzvBW,25,4474
2024-06-17T00:00:00.000Z,hqQxyp,Продукт: ZKGFid,30,3094
2024-01-23T00:00:00.000Z,qLrheU,Продукт: cXHbJD,22,739
2024-06-23T00:00:00.000Z,VLYfUR,Продукт: wgQTYu,9,3484
2024-09-24T00:00:00.000Z,nhRkWj,Продукт: ZKGFid,46,9205
2024-08-03T00:00:00.000Z,OnnkWo,Продукт: pGzvBW,39,8182
2024-03-20T00:00:00.000Z,hBSsPf,Продукт: eKZRPj,85,3267
2024-05-19T00:00:00.000Z,VfEvjZ,Продукт: kripcr,68,3020
2024-11-20T00:00:00.000Z,NvdGDW,Продукт: cXHbJD,28,8632
2024-03-26T00:00:00.000Z,twIlnt,Продукт: qYTwMH,91,9171
2024-09-22T00:00:00.000Z,YoWqCM,Продукт: qYTwMH,78,7309
2024-05-21T00:00:00.000Z,poPXBx,Продукт: RujVFA,29,4931
2024-12-13T00:00:00.000Z,SuaWgr,Продукт: DiZIfz,32,1379
2024-09-23T00:00:00.000Z,SWDRVn,Продукт: cXHbJD,62,8549
2024-01-02T00:00:00.000Z,qLubfw,Продукт: cXHbJD,84,1541
2024-11-27T00:00:00.000Z,xgdmAU,Продукт: cXHbJD,65,5105
2024-03-20T00:00:00.000Z,Rudncm,Продукт: ZKGFid,51,7334
2024-01-01T00:00:00.000Z,JSjrpt,Продукт: ZKGFid,69,5982
2024-12-12T00:00:00.000Z,tFcKdy,Продукт: ysAwtk,31,2058
2024-11-20T00:00:00.000Z,tAojvA,Продукт: RujVFA,98,7552
2024-03-10T00:00:00.000Z,oBmIue,Продукт: kripcr,69,1404
2024-11-29T00:00:00.000Z,cHvUul,Продукт: DiZIfz,6,1670
2024-11-30T00:00:00.000Z,lZYhEw,Продукт: Kuhbyg,1,2774
2024-11-06T00:00:00.000Z,tnJekK,Продукт: wgQTYu,87,7958
2024-09-29T00:00:00.000Z,mBrYHT,Продукт: vIMOcr,14,7828
2024-06-01T00:00:00.000Z,POofUI,Продукт: mOZGhk,94,7125
2024-04-25T00:00:00.000Z,rmxhob,Продукт: wgQTYu,60,5800
2024-10-18T00:00:00.000Z,VsWwjA,Продукт: ZKGFid,46,3584
2024-08-13T00:00:00.000Z,pwmdHv,Продукт: RujVFA,7,7449
2024-08-26T00:00:00.000Z,mwvIiD,Продукт: DiZIfz,30,1056
2024-12-26T00:00:00.000Z,vJuWvz,Продукт: kripcr,68,2902
2024-07-19T00:00:00.000Z,xpdPIq,Продукт: cXHbJD,23,8565
2024-08-13T00:00:00.000Z,HVFipF,Продукт: qYTwMH,55,9970
